Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6,Ball_Bonus
2020-02-26,19,20,27,49,52,57,4
2020-02-29,25,32,34,52,55,58,9
2020-03-04,4,7,14,19,50,56,8
2020-03-07,5,29,35,36,40,44,42
2020-03-11,10,39,45,46,52,54,12
2020-03-14,7,22,30,38,42,47,14
2020-03-18,3,7,11,19,27,52,5
2020-03-21,12,26,29,34,56,58,41
2020-03-25,11,24,25,39,53,57,9
2020-03-28,8,14,27,33,46,49,11
2020-04-01,4,16,17,22,27,52,30
2020-04-04,4,22,28,39,45,49,25
2020-04-08,1,4,19,20,41,45,7
2020-04-11,20,28,30,31,44,55,50
2020-04-15,25,37,38,43,54,57,17
2020-04-18,3,6,31,43,46,53,26
2020-04-22,3,8,18,47,50,59,12
2020-04-25,3,9,21,25,28,59,36
2020-04-29,16,17,32,36,40,47,4
2020-05-02,14,18,23,39,44,52,47
2020-05-06,23,29,32,48,49,51,13
2020-05-09,7,18,21,26,42,50,59
2020-05-13,14,16,19,31,38,47,20
2020-05-16,4,20,21,44,48,52,34
2020-05-20,7,24,26,37,40,57,44
2020-05-23,15,37,38,42,45,59,54
2020-05-27,4,7,19,23,34,38,46
2020-05-30,2,6,8,32,33,35,45
2020-06-03,1,2,5,11,14,33,48
2020-06-06,3,6,12,17,35,40,33
2020-06-10,20,26,50,51,55,57,40
2020-06-13,10,12,19,21,35,51,42
2020-06-17,2,9,33,39,48,54,43
2020-06-20,7,21,26,30,40,48,13
2020-06-24,1,8,33,50,52,57,41
2020-06-27,2,15,19,33,37,43,12
2020-07-01,1,8,24,27,29,55,4
2020-07-04,32,33,34,48,52,57,13
2020-07-08,5,18,22,31,50,59,30
2020-07-11,9,10,14,17,32,58,22
2020-07-15,9,27,29,37,44,53,49
2020-07-18,1,20,24,32,33,42,30
2020-07-22,2,7,11,23,37,45,19
2020-07-25,10,13,14,18,33,34,15
2020-07-29,1,24,39,46,49,52,51
2020-08-01,4,10,13,24,53,56,22
2020-08-05,1,28,42,43,51,58,36
2020-08-08,2,40,49,53,56,58,41
2020-08-12,6,8,27,31,37,51,20
2020-08-15,10,14,16,22,25,34,21
2020-08-19,21,22,32,36,45,50,5
2020-08-22,19,23,24,28,37,51,12
